Station_Id_C,Station_Id_d,Lat,Lon,Year,Mon,Day,Hour,WIN_S_Avg_2mi,WIN_D_Avg_2mi,PRE_1h,Q_PRE_1h,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_S_INST_Max_OTime,PRS_Sea,TEM,RHU,DPT
W9011,879011,35.4167,103.1833,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.1,999999,999999
V6419,866419,33.4325,107.0514,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,29.9,999999,999999
B6767,666767,37.1225,112.0019,2021,7,20,9,3,214,0,0,7.6,218,840,999999,27.6,999999,999999
W3425,873425,36.0044,103.8253,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.3,999999,999999
W4250,874250,35.1097,105.1297,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W3381,873381,36.1375,103.6797,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.9,999999,999999
W3343,873343,36.1614,103.5667,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,34.4,999999,999999
W8056,878056,36.15,107.0833,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.2,999999,999999
W9502,879502,34.4353,102.2986,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,22.3,999999,999999
B6637,666637,37.3194,113.8581,2021,7,20,9,2.7,123,0,0,7.1,165,849,999999,18.7,999999,999999
W9221,879221,35.7489,102.8631,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,29.2,999999,999999
Y3218,893218,35.5742,106.0644,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,24.8,999999,999999
Y1329,891329,38.2219,106.3406,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.9,999999,999999
Y2032,892032,37.5142,105.3161,2021,7,20,9,4.1,123,0,0,10.2,113,808,999999,33.2,32,14.2
Y3130,893130,36.0769,105.7006,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.2,999999,999999
Y2118,892118,37.5119,105.5611,2021,7,20,9,2.7,185,0,0,6.5,175,826,999999,32.9,34,14.8
W6256,876256,33.6628,104.5131,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
V7126,867126,34.305,107.4647,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.4,999999,999999
W3845,873845,36.4461,104.73,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W8161,878161,35.7775,107.01,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y1090,891090,38.7397,105.9422,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,29.2,999999,999999
W5142,875142,34.7833,105.5214,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W5168,875168,34.5556,105.9658,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y3425,893425,35.9747,106.8794,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,23.2,999999,999999
Y1809,891809,39.0181,106.1522,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,29.2,999999,999999
W3851,873851,36.5333,104.6667,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
V4655,864655,33.47,110.1486,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.5,999999,999999
W5036,875036,34.5011,105.3044,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
B8424,668424,35.6181,112.6006,2021,7,20,9,1.1,86,1.4,0,3,25,848,999999,20.1,999999,999999
V4123,864123,33.8353,109.0283,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.1,999999,999999
W6336,876336,33.9439,106.1853,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y1237,891237,38.2756,106.1367,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,35.8,999999,999999
V6925,866925,33.0181,107.9358,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,30.9,999999,999999
Y8970,898970,40.8567,77.1358,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,10.7,999999,999999
W3841,873841,36.6233,104.7217,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y3122,893122,35.8094,105.9261,2021,7,20,9,2.4,154,0,0,7.6,141,847,999999,26.9,45,13.9
V2217,862217,38.4247,110.5433,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,28.8,999999,999999
