Station_Name,Province,City,Cnty,Station_Id_d,Station_Id_C,Station_levl,Lat,Lon,Alti,Year,Mon,Day,Hour,Min,PRS_Sea,WIN_S_INST,WIN_D_INST,WIN_S_Avg_2mi,WIN_D_Avg_2mi,GST,TEM,RHU,PRE,DPT,timetag
寄料,河南省,平顶山市,汝州市,792744,O2744,14,34.0578,112.6267,348,2021,7,20,8,30,999999,0,298,0,299,999999,23.4,93,999999,22.2,202107200830
万利禽业,河南省,平顶山市,舞钢市,796337,O6337,14,33.2236,113.5783,185,2021,7,20,8,30,999999,0.6,132,0.1,125,999999,27.6,999999,999999,999999,202107200830
增福,河南省,许昌市,长葛市,795970,O5970,14,34.2419,113.8039,91.5,2021,7,20,8,30,999999,2,119,2,127,999999,27.1,999999,999999,999999,202107200830
延津马庄乡,河南省,新乡市,延津县,793735,O3735,14,35.3739,114.3569,66,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
辉县,河南省,新乡市,辉县市,53985,53985,13,35.4933,113.8111,140.7,2021,7,20,8,30,1008.5,999998,999998,4.3,22,23.1,23,88,0.1,20.9,202107200830
延津王楼,河南省,新乡市,延津县,793775,O3775,14,35.24,114.3578,67,2021,7,20,8,30,999999,4.6,82,3.3,60,999999,22.9,999999,999999,999999,202107200830
木植街,河南省,洛阳市,嵩县,792194,O2194,16,33.9547,112.1647,523,2021,7,20,8,30,999999,3,318,1.5,315,999999,23.4,99,999999,23.2,202107200830
长垣蒲西,河南省,新乡市,长垣市,793916,O3916,14,35.1967,114.6342,74,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
李寨,河南省,周口市,项城市,796771,O6771,14,33.1656,114.7467,41,2021,7,20,8,30,999999,1.9,107,1.4,119,999999,30.2,999999,999999,999999,202107200830
郑州奥体中心,河南省,郑州市,中原区,795131,O5131,999999,34.7397,113.5389,98,2021,7,20,8,30,999999,2.6,250,2.4,267,999999,23.4,98,999999,23.1,202107200830
杨集,河南省,驻马店市,上蔡县,797664,O7664,16,33.2597,114.6564,52.3,2021,7,20,8,30,999999,0.9,103,1,97,999999,30.9,79,999999,26.8,202107200830
新乡凤泉,河南省,新乡市,市辖区,793939,O3939,14,35.385,113.9108,84,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
原阳农科所,河南省,新乡市,原阳县,793825,O3825,14,35.0533,113.9947,80,2021,7,20,8,30,999999,6,48,5.5,47,999999,23.3,100,999999,23.3,202107200830
郝寨,河南省,南阳市,社旗县,797362,O7362,14,33.0092,113.0369,146,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
封丘居厢,河南省,新乡市,封丘县,793837,O3837,14,35.1394,114.4169,63,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
封丘留光,河南省,新乡市,封丘县,793849,O3849,14,35.0731,114.5917,78,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
太山庙,河南省,南阳市,南召县,797282,O7282,16,33.3467,112.5867,205,2021,7,20,8,30,999999,1.4,200,1.2,182,999999,26.9,92,999999,25.5,202107200830
柏香,河南省,焦作市,沁阳市,794026,O4026,14,35.0778,112.7725,129,2021,7,20,8,30,999999,3,278,2.8,256,999999,22.3,96,999999,21.6,202107200830
封丘北孙庄,河南省,新乡市,封丘县,793859,O3859,14,34.9869,114.3153,68.3,2021,7,20,8,30,999999,5.3,56,4.9,44,999999,23.3,97,999999,22.8,202107200830
